race_id,numeric_race_id,date,course,race_number,race_name,target_surface,target_distance,turn,weather,track_condition,frame_number,horse_number,horse_name,horse_url,horse_id,sex,age,weight_carried,jockey,odds,popularity
2026-07-25-01-08,202604020108,2026-07-25,新潟,8,清津峡特別,ダ,1800,左,unknown,良,0,6,コッレヴェッキオ,https://db.netkeiba.com/horse/2021105730/,2021105730,セ,5,58.0,北村宏,,
2026-07-25-01-08,202604020108,2026-07-25,新潟,8,清津峡特別,ダ,1800,左,unknown,良,0,7,サトノフェンサー,https://db.netkeiba.com/horse/2023103157/,2023103157,牡,3,55.0,三浦,,
2026-07-25-01-08,202604020108,2026-07-25,新潟,8,清津峡特別,ダ,1800,左,unknown,良,0,8,パイオニアスクエア,https://db.netkeiba.com/horse/2022105367/,2022105367,牡,4,58.0,富田,,
2026-07-25-01-08,202604020108,2026-07-25,新潟,8,清津峡特別,ダ,1800,左,unknown,良,0,9,バッカステソーロ,https://db.netkeiba.com/horse/2023106753/,2023106753,牡,3,55.0,山口勲,,
2026-07-25-01-08,202604020108,2026-07-25,新潟,8,清津峡特別,ダ,1800,左,unknown,良,0,10,ハルノアラシ,https://db.netkeiba.com/horse/2022106099/,2022106099,牡,4,58.0,石川,,
2026-07-25-01-08,202604020108,2026-07-25,新潟,8,清津峡特別,ダ,1800,左,unknown,良,0,11,ブレスドナイル,https://db.netkeiba.com/horse/2022110061/,2022110061,牝,4,56.0,斎藤,,
2026-07-25-01-08,202604020108,2026-07-25,新潟,8,清津峡特別,ダ,1800,左,unknown,良,0,12,メトロポリターナ,https://db.netkeiba.com/horse/2021110040/,2021110040,牝,5,56.0,丸田,,
2026-07-25-01-08,202604020108,2026-07-25,新潟,8,清津峡特別,ダ,1800,左,unknown,良,0,13,ライヴスプーン,https://db.netkeiba.com/horse/2022104264/,2022104264,牝,4,56.0,小林脩,,
2026-07-25-01-08,202604020108,2026-07-25,新潟,8,清津峡特別,ダ,1800,左,unknown,良,0,14,ロケットパンチ,https://db.netkeiba.com/horse/2023100514/,2023100514,セ,3,55.0,武藤,,
2026-07-25-02-06,202607020106,2026-07-25,中京,6,四日市特別,ダ,1400,左,unknown,良,0,1,アリエスキング,https://db.netkeiba.com/horse/2021101468/,2021101468,牡,5,58.0,田口,,
2026-07-25-02-06,202607020106,2026-07-25,中京,6,四日市特別,ダ,1400,左,unknown,良,0,2,アレ,https://db.netkeiba.com/horse/2021103287/,2021103287,牡,5,58.0,ハマーハン,,
2026-07-25-02-06,202607020106,2026-07-25,中京,6,四日市特別,ダ,1400,左,unknown,良,0,3,エブリーポッシブル,https://db.netkeiba.com/horse/2023106940/,2023106940,牝,3,53.0,岩田望,,
2026-07-25-02-06,202607020106,2026-07-25,中京,6,四日市特別,ダ,1400,左,unknown,良,0,4,オカメノコイ,https://db.netkeiba.com/horse/2022106698/,2022106698,牝,4,56.0,大野,,
2026-07-25-02-06,202607020106,2026-07-25,中京,6,四日市特別,ダ,1400,左,unknown,良,0,5,ゴルデールスカー,https://db.netkeiba.com/horse/2020103625/,2020103625,牡,6,58.0,坂井,,
2026-07-25-02-06,202607020106,2026-07-25,中京,6,四日市特別,ダ,1400,左,unknown,良,0,6,ザックザク,https://db.netkeiba.com/horse/2022100476/,2022100476,牡,4,58.0,北村友,,
