dataset,horse_id,history_index,column,legacy_value,pi_value,diff_abs,diff_pct,cause,join_key
horse_history_raw,2022106825,5.0,popularity_today,4.0,,,,netkeiba_spec_difference,2022106825|20251214|3歳以上1勝クラス
horse_history_raw,2022106825,6.0,odds_today,5.7,,,,netkeiba_spec_difference,2022106825|20251122|3歳以上1勝クラス
horse_history_raw,2022106825,6.0,popularity_today,4.0,,,,netkeiba_spec_difference,2022106825|20251122|3歳以上1勝クラス
horse_history_raw,2022106825,7.0,odds_today,5.7,,,,netkeiba_spec_difference,2022106825|20251018|岩船特別(1勝クラス)
horse_history_raw,2022106825,7.0,popularity_today,4.0,,,,netkeiba_spec_difference,2022106825|20251018|岩船特別(1勝クラス)
horse_history_raw,2022106825,8.0,odds_today,5.7,,,,netkeiba_spec_difference,2022106825|20250920|3歳以上1勝クラス
horse_history_raw,2022106825,8.0,popularity_today,4.0,,,,netkeiba_spec_difference,2022106825|20250920|3歳以上1勝クラス
horse_history_raw,2022106825,9.0,odds_today,5.7,,,,netkeiba_spec_difference,2022106825|20250713|織姫賞(1勝クラス)
horse_history_raw,2022106825,9.0,popularity_today,4.0,,,,netkeiba_spec_difference,2022106825|20250713|織姫賞(1勝クラス)
horse_history_raw,2022106825,10.0,odds_today,5.7,,,,netkeiba_spec_difference,2022106825|20250621|3歳以上1勝クラス
horse_history_raw,2022106825,10.0,popularity_today,4.0,,,,netkeiba_spec_difference,2022106825|20250621|3歳以上1勝クラス
horse_history_raw,2022106825,11.0,odds_today,5.7,,,,netkeiba_spec_difference,2022106825|20250524|カーネーションC(1勝クラス)
horse_history_raw,2022106825,11.0,popularity_today,4.0,,,,netkeiba_spec_difference,2022106825|20250524|カーネーションC(1勝クラス)
horse_history_raw,2022106825,12.0,odds_today,5.7,,,,netkeiba_spec_difference,2022106825|20250202|セントポーリア賞(1勝クラス)
horse_history_raw,2022106825,12.0,popularity_today,4.0,,,,netkeiba_spec_difference,2022106825|20250202|セントポーリア賞(1勝クラス)
horse_history_raw,2022106825,13.0,odds_today,5.7,,,,netkeiba_spec_difference,2022106825|20241110|黄菊賞(1勝クラス)
horse_history_raw,2022106825,13.0,popularity_today,4.0,,,,netkeiba_spec_difference,2022106825|20241110|黄菊賞(1勝クラス)
horse_history_raw,2022106825,14.0,odds_today,5.7,,,,netkeiba_spec_difference,2022106825|20241019|アイビーS(L)
horse_history_raw,2022106825,14.0,popularity_today,4.0,,,,netkeiba_spec_difference,2022106825|20241019|アイビーS(L)
horse_history_raw,2022106825,15.0,odds_today,5.7,,,,netkeiba_spec_difference,2022106825|20240804|2歳未勝利
